target_file,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
audio/com10_plc_4g-goodloss25_04-10-2025_082658/speaker_251004_082722.wav,3.193927,4.025549,2.7628543,2.6946676,3.5116093,NISQAv2
audio/com10_plc_4g-goodloss27_04-10-2025_082509/speaker_251004_082534.wav,3.3526282,4.0761876,3.303488,3.2757385,3.7329447,NISQAv2
audio/com10_plc_4g-goodloss30_04-10-2025_082325/speaker_251004_082347.wav,2.971776,3.9958243,2.5156357,2.8108556,3.4700546,NISQAv2
audio/com10_plc_4g-goodloss33_04-10-2025_082130/speaker_251004_082153.wav,2.3662071,3.8582237,2.2545433,2.3541768,3.2230659,NISQAv2
audio/com10_plc_4g-goodloss35_04-10-2025_081943/speaker_251004_082007.wav,2.4091532,3.7495863,2.21167,2.2712362,3.2521741,NISQAv2
audio/com10_plc_4g-goodloss37_04-10-2025_081756/speaker_251004_081820.wav,2.4423335,3.787565,2.214172,2.2796986,3.2801604,NISQAv2
audio/com10_plc_4g-goodloss3_04-10-2025_084142/speaker_251004_084206.wav,4.8437557,4.4966245,4.8251686,4.430924,4.5416484,NISQAv2
audio/com10_plc_4g-goodloss40_04-10-2025_081606/speaker_251004_081633.wav,1.824825,3.5761445,1.9615743,2.0343843,3.115503,NISQAv2
audio/com10_plc_4g-goodloss6_04-10-2025_083956/speaker_251004_084019.wav,4.770526,4.407491,4.691853,4.364636,4.4825883,NISQAv2
audio/com10_plc_4g-goodloss9_04-10-2025_083808/speaker_251004_083830.wav,4.298052,4.263523,3.9460852,4.3645644,4.480921,NISQAv2
audio/com2_normal_3g-goodloss0_04-10-2025_000041/speaker_251004_000108.wav,4.5042243,4.3347898,4.569213,4.1083946,4.3224506,NISQAv2
audio/com2_normal_3g-goodloss12_03-10-2025_235045/speaker_251003_235105.wav,3.1500707,3.9192555,3.5505424,2.7609682,3.5623784,NISQAv2
audio/com2_normal_3g-goodloss15_03-10-2025_234903/speaker_251003_234923.wav,2.6714857,3.946508,2.7928774,2.6011531,3.4454205,NISQAv2
